"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Freddie Freeman","ATL","68","300","16","46","40","4","14.0%","18.7%",".220",".255",".247",".357",".467",".347","","114","1.7","7.1","-4.1","1.3","5361"
"Teoscar Hernandez","TOR","51","219","10","26","42","4","6.8%","25.6%",".187",".370",".300",".347",".488",".355","","123","0.5","6.6","-1.3","1.3","13066"
"Austin Meadows","TBR","68","295","15","43","50","2","11.5%","25.8%",".254",".263",".230",".325",".484",".342","","123","-0.2","8.0","-5.5","1.3","15672"
"Jonathan Schoop","DET","68","285","13","34","34","0","7.0%","21.1%",".197",".307",".274",".330",".471",".342","","117","-1.0","4.8","-2.2","1.2","11265"
"Alex Verdugo","BOS","66","278","9","43","32","4","7.6%","12.6%",".170",".303",".289",".345",".458",".344","","114","1.6","6.5","-3.6","1.2","17027"
"Jorge Polanco","MIN","65","271","9","40","30","5","8.1%","16.2%",".185",".269",".251",".317",".436",".323","","105","2.0","3.6","-0.8","1.2","13152"
"Tommy Edman","STL","70","312","4","40","18","13","5.1%","12.2%",".116",".291",".264",".308",".380",".299","","89","3.6","-0.6","2.1","1.2","19470"
"Tommy Pham","SDP","70","258","6","33","22","11","16.3%","21.7%",".142",".316",".255",".380",".396",".345","","119","1.3","7.5","-4.4","1.2","2967"
"Manuel Margot","TBR","64","246","7","25","39","6","5.7%","15.9%",".152",".269",".247",".289",".398",".295","","91","0.8","-1.9","5.2","1.2","14712"
"Trey Mancini","BAL","69","295","14","41","52","0","9.8%","20.3%",".218",".303",".272",".353",".490",".360","","128","-2.6","7.5","-6.1","1.1","15149"
"Freddy Galvis","BAL","66","254","9","35","26","1","6.7%","20.9%",".178",".296",".257",".315",".435",".321","","101","0.7","1.2","1.4","1.1","6609"
"Javier Baez","- - -","64","251","16","35","45","9","3.2%","37.8%",".235",".304",".231",".272",".466",".310","","91","2.4","-0.3","3.2","1.1","12979"
"Eduardo Escobar","ARI","70","295","15","37","45","1","6.4%","22.0%",".215",".260",".240",".288",".455",".316","","94","1.0","-1.2","2.1","1.1","6153"
"Raimel Tapia","COL","70","293","5","43","36","8","6.8%","13.7%",".122",".342",".306",".352",".428",".335","","96","1.6","0.0","0.9","1.1","14350"
"Anthony Rizzo","CHC","65","264","9","29","31","4","10.6%","12.9%",".194",".257",".251",".345",".445",".338","","110","-1.0","2.3","-0.5","1.1","3473"
"Dylan Carlson","STL","70","288","6","35","27","0","10.4%","24.3%",".141",".339",".265",".351",".406",".329","","109","0.1","3.4","-2.4","1.1","20126"
"Ty France","SEA","64","266","6","33","28","0","8.3%","17.3%",".157",".311",".270",".361",".426",".343","","123","-1.1","6.3","-4.8","1.1","17982"
"Jeimer Candelario","DET","63","268","4","29","19","0","10.4%","25.7%",".113",".355",".264",".343",".377",".319","","101","0.4","0.8","0.5","1.0","13621"
"Amed Rosario","CLE","62","241","4","35","21","7","6.6%","19.1%",".112",".335",".278",".332",".390",".316","","99","0.8","0.6","1.4","1.0","15518"
"Justin Upton","LAA","62","254","14","40","32","3","11.8%","28.3%",".235",".299",".249",".339",".484",".351","","123","0.5","7.7","-6.2","1.0","5222"
"Josh Rojas","ARI","68","257","9","36","20","3","9.7%","25.7%",".189",".318",".254",".327",".443",".331","","105","2.7","4.2","-2.7","1.0","19734"
"Kyle Seager","SEA","74","305","13","28","42","2","7.2%","25.6%",".206",".249",".217",".279",".422",".298","","92","-0.6","-3.5","3.0","1.0","9785"
"Jonathan Villar","NYM","60","206","7","28","16","8","9.7%","23.8%",".175",".291",".240",".322",".415",".317","","103","1.5","2.4","0.6","1.0","10071"
"Josh Donaldson","MIN","55","225","10","31","27","0","12.9%","18.2%",".215",".250",".241",".338",".455",".340","","116","-1.8","2.6","-0.6","1.0","5038"
"Mitch Haniger","SEA","69","295","16","45","41","0","6.4%","24.1%",".239",".282",".254",".302",".493",".335","","117","-0.7","5.4","-6.2","0.9","14274"
"Dansby Swanson","ATL","69","277","11","30","30","2","6.1%","27.8%",".202",".286",".233",".286",".435",".304","","86","0.4","-4.5","4.3","0.9","18314"
"Garrett Hampson","COL","68","246","6","36","18","12","6.9%","23.6%",".188",".311",".251",".307",".439",".317","","84","3.4","-1.6","2.4","0.9","19262"
"Trevor Story","COL","61","254","6","34","29","13","9.8%","21.7%",".165",".313",".259",".335",".424",".325","","89","3.0","-0.4","0.9","0.9","12564"
"Carlos Santana","KCR","70","298","11","39","40","2","15.4%","14.1%",".151",".250",".245",".366",".396",".336","","112","-0.2","4.0","-5.2","0.9","2396"
"Enrique Hernandez","BOS","56","230","6","34","18","1","7.0%","23.0%",".162",".283",".233",".296",".395",".299","","84","1.3","-3.2","4.3","0.9","10472"
