"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Bo Bichette","TOR","71","306","10","51","41","12","6.5%","15.4%",".146",".338",".306",".359",".452",".352","","120","3.0","10.5","1.0","2.2","19612"
"Lourdes Gurriel Jr.","TOR","64","241","12","33","57","0","10.0%","14.9%",".243",".339",".322",".390",".565",".402","","154","-1.3","14.7","-1.9","2.1","19238"
"Wander Franco","TBR","62","271","7","49","36","2","8.1%","12.9%",".179",".307",".285",".347",".463",".348","","127","2.7","11.6","0.2","2.1","23667"
"Avisail Garcia","MIL","59","228","14","35","42","3","8.3%","19.3%",".262",".329",".307",".377",".569",".394","","146","-0.4","12.9","0.4","2.1","5760"
"Jose Altuve","HOU","68","316","11","48","35","2","10.4%","13.0%",".190",".268",".258",".342",".448",".340","","119","0.8","8.0","2.0","2.1","5417"
"Pete Alonso","NYM","78","332","21","40","50","3","8.7%","19.0%",".280",".277",".270",".346",".551",".374","","140","-2.4","14.7","-5.2","2.1","19251"
"A.J. Pollock","LAD","61","231","11","27","35","7","6.5%","18.6%",".246",".354",".318",".372",".564",".393","","149","0.6","15.1","-2.2","2.1","9256"
"Carlos Correa","HOU","65","278","8","41","37","0","11.2%","20.9%",".169",".306",".259",".342",".428",".333","","114","-0.2","4.5","6.5","2.1","14162"
"Matt Chapman","OAK","65","272","17","38","37","2","11.8%","32.7%",".229",".250",".212",".309",".441",".323","","108","1.0","3.7","7.2","2.0","16505"
"Tim Anderson","CHW","50","228","8","42","28","4","2.2%","19.3%",".188",".357",".309",".325",".498",".349","","123","2.2","8.6","3.7","2.0","15172"
"Yordan Alvarez","HOU","68","278","21","43","56","0","11.2%","22.3%",".310",".258",".257",".342",".567",".380","","145","0.2","15.6","-5.1","2.0","19556"
"Shohei Ohtani","LAA","69","282","21","43","40","13","16.0%","31.9%",".326",".294",".246",".365",".572",".383","","145","0.8","16.1","-6.0","2.0","19755"
"Max Muncy","LAD","67","283","18","45","50","1","10.2%","19.4%",".290",".239",".242",".332",".532",".363","","130","1.2","12.1","-1.9","2.0","13301"
"Jose Abreu","CHW","69","303","17","48","54","0","8.9%","21.1%",".257",".301",".276",".366",".533",".378","","143","-2.1","13.7","-5.2","1.9","15676"
"Josh Harrison","- - -","65","265","4","31","28","6","4.5%","10.9%",".152",".336",".309",".360",".461",".354","","124","0.3","8.4","1.2","1.9","8202"
"Randy Arozarena","TBR","56","234","9","41","26","2","8.5%","28.2%",".221",".389",".294",".376",".515",".379","","147","-1.5","12.1","-1.6","1.9","19290"
"Joey Gallo","- - -","69","279","21","43","39","0","18.6%","38.4%",".316",".194",".178",".333",".493",".348","","122","1.5","9.2","-0.4","1.8","14128"
"Adam Duvall","- - -","67","253","19","33","48","0","8.3%","28.9%",".300",".266",".243",".308",".543",".355","","122","-1.9","5.2","4.4","1.8","10950"
"Justin Turner","LAD","68","269","13","33","42","2","8.2%","15.6%",".200",".275",".268",".353",".468",".355","","124","-0.3","8.0","1.0","1.8","5235"
"Rafael Devers","BOS","72","305","16","40","46","1","11.8%","19.3%",".234",".286",".268",".357",".502",".364","","127","0.7","11.0","-3.5","1.8","17350"
"Nolan Arenado","STL","69","293","18","37","50","2","7.8%","15.4%",".259",".218",".237",".297",".496",".330","","109","0.0","3.5","4.0","1.7","9777"
"Ozzie Albies","ATL","72","321","18","51","51","10","6.5%","20.9%",".232",".270",".256",".302",".488",".331","","104","4.4","6.0","0.5","1.7","16556"
"George Springer","TOR","56","242","15","42","34","2","11.2%","23.1%",".290",".286",".262",".355",".552",".381","","140","-1.1","10.8","-2.0","1.7","12856"
"Harrison Bader","STL","62","246","7","22","29","3","6.9%","21.1%",".156",".311",".262",".321",".418",".318","","102","0.8","1.4","7.3","1.7","18030"
"Matt Olson","OAK","70","305","14","46","45","3","13.8%","15.7%",".228",".250",".248",".361",".476",".354","","129","0.4","11.3","-5.1","1.7","14344"
"Robbie Grossman","DET","70","292","14","43","31","9","15.1%","20.5%",".219",".278",".252",".372",".471",".364","","132","0.6","12.0","-5.5","1.6","5254"
"Hunter Renfroe","BOS","67","272","19","43","54","1","8.1%","22.1%",".297",".269",".264",".320",".561",".366","","129","-0.7","9.0","-2.9","1.5","15464"
"J.T. Realmuto","PHI","64","266","7","32","31","6","8.3%","24.1%",".154",".300",".241",".312",".394",".304","","87","2.9","-1.5","7.7","1.5","11739"
"Max Kepler","MIN","65","269","12","33","23","4","11.9%","20.4%",".220",".229",".216",".320",".435",".324","","105","2.5","4.1","1.8","1.5","12144"
"Jean Segura","PHI","66","293","9","44","30","3","7.5%","12.3%",".156",".284",".271",".342",".427",".333","","106","-1.5","0.7","4.6","1.5","5933"
"Trevor Story","COL","66","273","15","43","39","5","7.3%","25.6%",".281",".264",".236",".315",".517",".350","","106","2.9","4.8","1.0","1.5","12564"
"Kyle Seager","SEA","68","294","21","40","52","1","11.9%","22.1%",".267",".173",".198",".293",".465",".323","","109","-1.2","2.0","2.9","1.5","9785"
"Eduardo Escobar","- - -","58","233","12","32","36","0","9.4%","18.5%",".246",".301",".280",".348",".526",".369","","129","-0.3","8.4","-1.3","1.5","6153"
"Josh Bell","WSN","71","284","17","36","54","0","12.0%","13.0%",".249",".265",".277",".363",".526",".376","","133","-3.0","9.1","-3.7","1.5","13145"
"Yoan Moncada","CHW","61","261","6","31","22","2","11.9%","23.8%",".146",".329",".257",".356",".403",".334","","113","0.2","4.3","1.2","1.4","17232"
"C.J. Cron","COL","67","264","18","31","54","1","11.0%","18.9%",".307",".275",".276",".371",".582",".396","","135","-1.4","10.4","-5.1","1.4","12546"
"Xander Bogaerts","BOS","61","251","8","38","29","1","10.4%","17.1%",".174",".310",".280",".359",".454",".349","","117","0.1","5.4","-0.1","1.4","12161"
"Ty France","SEA","70","305","10","39","33","0","4.9%","16.7%",".149",".335",".301",".357",".449",".349","","127","-1.3","8.7","-5.5","1.4","17982"
"Kolten Wong","MIL","53","235","8","35","26","4","5.1%","20.9%",".193",".325",".278",".340",".472",".348","","116","0.5","5.3","0.4","1.4","12532"
"Wil Myers","SDP","67","230","9","30","32","4","13.5%","30.0%",".199",".347",".260",".357",".459",".350","","122","0.8","7.3","-1.4","1.4","10047"
"Tommy Edman","STL","71","299","6","39","30","12","6.0%","15.1%",".145",".292",".261",".312",".406",".310","","96","2.9","1.5","2.0","1.3","19470"
"Salvador Perez","KCR","72","299","24","40","58","1","5.4%","25.8%",".281",".261",".255",".308",".536",".352","","122","-0.2","7.8","-4.6","1.3","7304"
